year,Predicted Total Population,Predicted Elderly Population,Predicted Infant Population,Predicted Children Population,Predicted Youth Population,Predicted Adult Population
2013,65124716.0,9110754.0,2208311.0,10328360.0,8589490.0,33717435.0
2014,64982655.434925,9112599.788026499,2232290.77500119,10374516.67072653,8614949.941174997,33611118.243476786
2015,65379333.88750178,9487378.568310725,2173517.588676145,10264939.765664168,8564153.497619098,33824024.19822272
2016,66131081.03354012,9832547.202856097,2035985.3839209434,10227405.018483255,8352826.84694597,34070653.69255602
2017,66251619.20435007,10178841.49954214,1955335.2651493263,10130731.615392145,8219949.8448949205,34188368.159392245
2018,66481110.1501134,10601703.385835366,1886826.7548007504,10066298.605633741,7991158.157567571,34237650.252685
2019,66678122.71760321,11043097.767678441,1833862.6383972103,9963187.8844245,7850304.013585099,34262875.831586234
2020,66772768.07753204,11512223.709230272,1770051.9214391839,9823944.400936991,7691970.207565599,34174952.233872876
2021,66154239.20813868,12009224.729884963,1677194.115749579,9643392.863912392,7516516.336515371,34150430.68986326
2022,66143232.81405065,12448171.719909113,1563633.1776916194,9437870.513023077,7312958.224026489,34112088.585388616
2023,66040233.64999928,12896222.149410103,1453610.9890865388,9219755.064522047,7145754.85397222,34011930.4101954
2024,65989728.51092832,13272877.07022066,1358159.7572846198,9029249.04050194,6969505.166824307,33949831.56746386
2025,65939223.371857345,13649531.99103122,1262708.5254827007,8838743.016481832,6793255.479676395,33887732.724732324
2026,65888718.23278637,14026186.911841778,1167257.2936807815,8648236.992461724,6617005.792528482,33825633.88200078
2027,65838213.0937154,14402841.832652336,1071806.0618788626,8457730.968441617,6440756.10538057,33763535.03926924
2028,65787707.954644434,14779496.753462896,976354.8300769434,8267224.94442151,6264506.418232657,33701436.1965377
2029,65737202.81557346,15156151.674273454,880903.5982750243,8076718.920401403,6088256.7310847435,33639337.35380616
2030,65686697.67650249,15532806.595084012,785452.3664731053,7886212.896381295,5912007.043936832,33577238.51107462
2031,65636192.537431516,15909461.51589457,690001.1346711862,7695706.872361188,5735757.356788918,33515139.668343075
2032,65585687.39836055,16286116.436705127,594549.9028692672,7505200.84834108,5559507.669641007,33453040.825611535
2033,65535182.25928958,16662771.357515687,499098.671067348,7314694.824320974,5383257.982493093,33390941.982879996
2034,65484677.120218605,17039426.278326243,403647.4392654288,7124188.800300866,5207008.295345181,33328843.140148453
2035,65434171.98114763,17416081.1991368,308196.20746350987,6933682.776280759,5030758.608197268,33266744.29741691
2036,65383666.84207667,17792736.119947363,212744.9756615907,6743176.752260651,4854508.9210493555,33204645.45468537
2037,65333161.703005694,18169391.04075792,117293.74385967175,6552670.728240544,4678259.233901443,33142546.611953832
2038,65282656.56393472,18546045.96156848,21842.51205775258,6362164.7042204365,4502009.54675353,33080447.76922229
2039,65232151.42486375,18922700.882379036,0.0,6171658.680200329,4325759.859605618,33018348.926490746
2040,65181646.28579278,19299355.803189594,0.0,5981152.656180222,4149510.1724577053,32956250.083759207
2041,65131141.14672181,19676010.724000156,0.0,5790646.632160114,3973260.4853097927,32894151.241027668
2042,65080636.00765084,20052665.644810714,0.0,5600140.608140007,3797010.79816188,32832052.398296125
2043,65030130.868579865,20429320.56562127,0.0,5409634.584119899,3620761.111013967,32769953.555564582
2044,64979625.7295089,20805975.48643183,0.0,5219128.560099793,3444511.4238660545,32707854.712833043
2045,64929120.59043793,21182630.407242388,0.0,5028622.536079685,3268261.736718142,32645755.870101504
2046,64878615.45136695,21559285.328052945,0.0,4838116.512059578,3092012.049570229,32583657.02736996
2047,64828110.31229598,21935940.248863503,0.0,4647610.48803947,2915762.3624223163,32521558.18463842
2048,64777605.173225015,22312595.16967406,0.0,4457104.464019363,2739512.6752744038,32459459.34190688
2049,64727100.03415404,22689250.09048462,0.0,4266598.439999255,2563262.988126491,32397360.49917534
2050,64676594.89508307,23065905.011295177,0.0,4076092.415979149,2387013.3009785786,32335261.656443797
